,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,GAME_WON
18,0022200002,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:48,10.0,22.0,0.455,4.0,13.0,0.308,9.0,9.0,1.0,1.0,5.0,6.0,7.0,4.0,1.0,4.0,1.0,33.0,20.0,True
19,0022200026,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:55,10.0,22.0,0.455,5.0,11.0,0.455,9.0,9.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,3.0,2.0,34.0,9.0,False
19,0022200042,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:21,11.0,22.0,0.5,7.0,12.0,0.583,4.0,4.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,3.0,33.0,19.0,True
4,0022200055,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,29.000000:55,7.0,17.0,0.412,4.0,9.0,0.444,3.0,5.0,0.6,0.0,7.0,7.0,8.0,1.0,0.0,1.0,1.0,21.0,-17.0,False
18,0022200068,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:56,13.0,22.0,0.591,7.0,14.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,9.0,1.0,0.0,3.0,0.0,33.0,13.0,True
4,0022200082,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,38.000000:54,10.0,22.0,0.455,3.0,13.0,0.231,8.0,8.0,1.0,0.0,11.0,11.0,6.0,1.0,0.0,2.0,5.0,31.0,-6.0,False
4,0022200091,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:59,10.0,24.0,0.417,4.0,14.0,0.286,8.0,9.0,0.889,0.0,6.0,6.0,3.0,2.0,0.0,1.0,1.0,32.0,-12.0,False
4,0022200104,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:29,7.0,14.0,0.5,4.0,10.0,0.4,5.0,5.0,1.0,4.0,9.0,13.0,13.0,1.0,0.0,5.0,3.0,23.0,3.0,False
4,0022200118,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,38.000000:21,13.0,22.0,0.591,8.0,15.0,0.533,5.0,5.0,1.0,1.0,2.0,3.0,9.0,0.0,0.0,5.0,3.0,39.0,4.0,False
19,0022200156,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,37.000000:43,17.0,24.0,0.708,7.0,12.0,0.583,6.0,7.0,0.857,0.0,8.0,8.0,8.0,0.0,0.0,0.0,2.0,47.0,20.0,True
15,0022200182,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:00,15.0,23.0,0.652,6.0,11.0,0.545,4.0,6.0,0.667,0.0,4.0,4.0,5.0,1.0,0.0,2.0,4.0,40.0,7.0,True
4,0022200197,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:51,9.0,17.0,0.529,3.0,9.0,0.333,6.0,6.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,4.0,0.0,27.0,0.0,False
15,0022200205,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,27.000000:01,5.0,11.0,0.455,3.0,7.0,0.429,3.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,1.0,16.0,17.0,True
4,0022200220,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:14,17.0,28.0,0.607,7.0,11.0,0.636,9.0,9.0,1.0,0.0,9.0,9.0,6.0,0.0,1.0,3.0,2.0,50.0,-14.0,False
18,0022200233,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,33.000000:50,9.0,19.0,0.474,5.0,13.0,0.385,1.0,3.0,0.333,0.0,6.0,6.0,10.0,2.0,0.0,5.0,2.0,24.0,18.0,True
4,0022200245,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:60,11.0,20.0,0.55,7.0,14.0,0.5,4.0,5.0,0.8,0.0,6.0,6.0,15.0,3.0,2.0,1.0,3.0,33.0,22.0,True
15,0022200271,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:41,9.0,20.0,0.45,4.0,10.0,0.4,0.0,0.0,0.0,1.0,5.0,6.0,9.0,0.0,0.0,1.0,0.0,22.0,18.0,True
