season,age,seasontype,team_id,team_alias,team_alias_all,player_id,player_name,pos_text,gp,roster_games,start,mp,rookie_year,inches,weight,mpg,off,def,tot,ewins,usg,tspct,efg,fgpct_rim,fgpct_mid,fg2pct,fg3pct,ftpct,orbpct,drbpct,astpct,topct,stlpct,blkpct,fga_rim_75,fga_mid_75,fg3a_75,fta_75,fga_75
2026,27,2,1610612760,"OKC","OKC",1628983,"Shai Gilgeous-Alexander","PG",61,73,61,2040.62,2018,78,195,33.4426,7.39517,1.89074,9.2859,16.9656,0.32309,0.674508,0.601425,0.694215,0.547069,0.604752,0.393258,0.888483,0.0181406,0.118916,0.333333,0.0848329,0.0203987,0.0226308,6.29625,9.76526,4.63113,9.48774,20.6926
2026,22,2,1610612759,"SAS","SAS",1641705,"Victor Wembanyama","C",58,73,49,1694.14,2023,88,235,29.2069,3.87671,4.71727,8.59398,13.487,0.317606,0.619048,0.563087,0.718663,0.405694,0.58125,0.351097,0.818182,0.0794199,0.316194,0.161682,0.11337,0.017217,0.100223,7.5952,5.94499,6.74894,8.378,20.2891
2026,30,2,1610612743,"DEN","DEN",203999,"Nikola Jokic","C",58,74,58,2020.69,2015,83,284,34.8276,7.48411,0.733264,8.21737,15.5489,0.292954,0.67194,0.621287,0.720721,0.573892,0.640054,0.380074,0.831019,0.100118,0.311111,0.466568,0.155415,0.0193925,0.0213442,5.79332,7.06333,4.71468,7.51566,17.5713
2026,31,2,1610612749,"MIL","MIL",203507,"Giannis Antetokounmpo","PF",36,72,36,1039.38,2013,83,243,28.8611,5.86699,1.50893,7.37592,7.19795,0.36261,0.65891,0.636288,0.757647,0.28125,0.647378,0.333333,0.647887,0.108407,0.261586,0.344464,0.132641,0.0158953,0.0214477,14.9228,4.49438,1.58006,12.4649,20.9972
2026,34,2,1610612746,"LAC","LAC",202695,"Kawhi Leonard","SF",57,73,57,1833.05,2011,78,225,32.1579,6.19152,0.64712,6.83864,12.2042,0.334217,0.635466,0.571622,0.705357,0.507099,0.569038,0.384224,0.899471,0.0373281,0.183887,0.195817,0.0872386,0.0305094,0.0132383,4.56026,10.0366,8.00081,7.69544,22.5977
2026,26,2,1610612747,"LAL","LAL",1629029,"Luka Doncic","PG",61,73,61,2190.36,2018,80,230,35.9016,6.42313,0.164192,6.58732,14.2106,0.370356,0.616265,0.560888,0.752577,0.509294,0.57377,0.364458,0.772947,0.0212187,0.223865,0.387786,0.128151,0.0216915,0.0139006,3.17616,8.80812,10.871,10.167,22.8553
2026,28,2,1610612763,"MEM","MEM",1629660,"Ty Jerome","SG",15,72,15,338.688,2019,77,195,22.5333,7.09181,-0.961622,6.13018,2.0639,0.340674,0.625,0.572093,0.571429,0.5,0.521739,0.42,0.875,0.0390071,0.107266,0.408654,0.102662,0.023088,0.010989,3.83212,8.75912,10.9489,6.13139,23.5401
2026,23,2,1610612760,"OKC","OKC",1631096,"Chet Holmgren","C",63,73,63,1841.76,2023,85,208,29.2222,2.0201,3.36041,5.38051,10.4449,0.216091,0.646108,0.606695,0.743421,0.479167,0.641129,0.352941,0.79771,0.0750789,0.246248,0.0820433,0.104077,0.00889354,0.0619703,5.95145,3.75881,4.32655,5.12921,14.0368
2026,37,2,1610612744,"GSW","GSW",201939,"Stephen Curry","PG",39,73,39,1221.73,2009,74,185,31.3077,5.93909,-0.771522,5.16757,6.75255,0.315078,0.645554,0.585349,0.669065,0.509554,0.584459,0.390625,0.935644,0.0145059,0.110708,0.247059,0.119099,0.0168389,0.0117045,4.00038,4.51842,12.8933,5.81351,21.4121
2026,22,2,1610612765,"DET","DET",1631105,"Jalen Duren","C",63,73,63,1776.78,2022,82,250,28.1905,3.43927,1.56942,5.00869,9.62928,0.233658,0.682832,0.642955,0.69244,0.449664,0.642955,,0.746073,0.15409,0.262896,0.0949153,0.110119,0.0150273,0.0301508,11.9262,3.05328,0,7.82787,14.9795
2026,29,2,1610612739,"CLE","CLE",1628378,"Donovan Mitchell","SG",64,73,64,2149.93,2017,74,215,33.5781,5.30087,-0.416353,4.88451,11.4709,0.316225,0.616541,0.563218,0.643087,0.521951,0.574202,0.366438,0.860825,0.0239708,0.124486,0.270389,0.110638,0.0212436,0.00803571,5.1456,6.78359,9.66248,6.41959,21.5917
2026,31,2,1610612738,"BOS","BOS",1628401,"Derrick White","SG",69,72,69,2364.24,2017,76,190,34.2609,1.99963,2.81931,4.81894,12.3381,0.225777,0.530357,0.487476,0.674797,0.415094,0.487528,0.324958,0.902564,0.0355805,0.104251,0.22938,0.0982287,0.0176671,0.0407725,1.96235,5.07339,9.52457,3.11104,16.5603
2026,24,2,1610612765,"DET","DET",1630595,"Cade Cunningham","PG",61,73,61,2096.23,2021,78,220,34.3607,3.81062,0.845522,4.65614,10.8605,0.299941,0.572303,0.514744,0.602241,0.439909,0.512531,0.346479,0.815303,0.0282667,0.150105,0.428267,0.147423,0.0206612,0.0247383,6.14387,7.58949,6.10945,6.52249,19.8428
2026,24,2,1610612766,"CHA","CHA",1630163,"LaMelo Ball","PG",63,73,60,1741.59,2020,79,180,27.6349,4.74988,-0.378885,4.371,8.68702,0.306444,0.547788,0.513967,0.537634,0.400749,0.456954,0.37037,0.893333,0.0358073,0.159309,0.383162,0.132771,0.021475,0.00842105,3.88471,5.57644,12.9699,3.13283,22.4311
