season,age,seasontype,team_id,team_alias,team_alias_all,player_id,player_name,pos_text,gp,roster_games,start,mp,rookie_year,inches,weight,mpg,off,def,tot,ewins,usg,tspct,efg,fgpct_rim,fgpct_mid,fg2pct,fg3pct,ftpct,orbpct,drbpct,astpct,topct,stlpct,blkpct,fga_rim_75,fga_mid_75,fg3a_75,fta_75,fga_75
2026,27,2,1610612760,"OKC","OKC",1628983,"Shai Gilgeous-Alexander","PG",63,75,63,2106.92,2018,78,195,33.4286,7.21258,1.81371,9.02629,17.1528,0.324493,0.668471,0.594332,0.696809,0.540587,0.602094,0.378571,0.883478,0.0180426,0.117218,0.330128,0.0848297,0.0200045,0.0233516,6.32713,9.7431,4.71169,9.67579,20.7819
2026,30,2,1610612743,"DEN","DEN",203999,"Nikola Jokic","C",60,76,60,2095.43,2015,83,284,34.9167,7.47076,0.631643,8.10241,15.9588,0.291898,0.674194,0.624761,0.715116,0.579572,0.640523,0.3879,0.827664,0.100285,0.311587,0.464183,0.156463,0.0191441,0.020596,5.76923,7.0606,4.71266,7.39602,17.5425
2026,26,2,1610612747,"LAL","LAL",1629029,"Luka Doncic","PG",62,74,62,2229.05,2018,80,230,35.9516,6.43235,0.305654,6.738,14.4983,0.370292,0.618187,0.563336,0.752525,0.51184,0.575636,0.366469,0.77512,0.0219839,0.221614,0.385079,0.128549,0.0219496,0.0140438,3.18533,8.83205,10.843,10.0869,22.8604
2026,22,2,1610612759,"SAS","SAS",1641705,"Victor Wembanyama","C",59,74,50,1724.82,2023,88,235,29.2203,3.78033,4.72881,8.50915,13.4505,0.31878,0.615617,0.558163,0.712737,0.401384,0.575988,0.347826,0.820197,0.0804054,0.317811,0.16407,0.113236,0.0174757,0.0996147,7.67471,6.01082,6.69717,8.44426,20.3827
2026,34,2,1610612746,"LAC","LAC",202695,"Kawhi Leonard","SF",59,75,59,1890.15,2011,78,225,32.0339,6.22439,0.560042,6.78443,12.5195,0.333722,0.632926,0.571181,0.693617,0.510763,0.568365,0.384236,0.897368,0.0392902,0.185185,0.194853,0.0852551,0.030351,0.0128649,4.63572,10.0802,8.00894,7.49605,22.7249
2026,31,2,1610612738,"BOS","BOS",1628401,"Derrick White","SG",70,74,70,2398.47,2017,76,190,34.2571,1.83281,2.68692,4.51973,12.0466,0.225806,0.527753,0.484301,0.672,0.412308,0.484444,0.322795,0.9,0.0359945,0.10357,0.229625,0.0992064,0.017426,0.0401861,1.96706,5.11435,9.45762,3.14729,16.539
2026,37,2,1610612745,"HOU","HOU",201142,"Kevin Durant","PF",71,74,71,2586.49,2007,83,240,36.4225,3.19868,0.597052,3.79573,11.7401,0.264133,0.643759,0.583997,0.761194,0.535865,0.571598,0.406326,0.878571,0.0158242,0.147159,0.196504,0.137848,0.0116613,0.0215168,1.90774,10.1224,5.85137,5.9795,17.8815
2026,29,2,1610612739,"CLE","CLE",1628378,"Donovan Mitchell","SG",65,74,65,2180.56,2017,74,215,33.5385,5.19254,-0.402755,4.78978,11.3454,0.314324,0.613559,0.559696,0.636943,0.519324,0.570055,0.364566,0.862245,0.0241645,0.124365,0.268293,0.11091,0.0218103,0.00794001,5.11845,6.74853,9.56857,6.38992,21.4356
2026,25,2,1610612755,"PHI","PHI",1630178,"Tyrese Maxey","PG",62,74,62,2377.2,2020,74,200,38.3387,3.46428,0.674513,4.13879,11.3349,0.290543,0.594496,0.538035,0.627078,0.407792,0.522332,0.374088,0.891247,0.00811176,0.114395,0.292872,0.0910187,0.0254531,0.0199531,6.40596,5.85819,8.33841,5.73646,20.6026
2026,28,2,1610612743,"DEN","DEN",1627750,"Jamal Murray","PG",71,76,71,2496.37,2016,76,215,35.1549,5.16391,-1.74591,3.41801,10.9905,0.274635,0.6291,0.571429,0.592199,0.481405,0.522193,0.429119,0.885027,0.0144161,0.124123,0.30401,0.102693,0.0124683,0.00934929,4.09249,7.02399,7.57546,5.42763,18.6919
