Player,2025-26
Stephen Curry,"$59,606,817"
Joel Embiid,"$55,224,526"
Nikola Jokić,"$55,224,526"
Kevin Durant,"$54,708,609"
Jayson Tatum,"$54,126,450"
Anthony Davis,"$54,126,450"
Giannis Antetokounmpo,"$54,126,450"
Jimmy Butler,"$54,126,450"
Jaylen Brown,"$53,142,264"
Devin Booker,"$53,142,264"
Karl-Anthony Towns,"$53,142,264"
LeBron James,"$52,627,153"
Paul George,"$51,666,090"
Kawhi Leonard,"$50,000,000"
Zach LaVine,"$47,499,660"
Cade Cunningham,"$46,394,100"
Evan Mobley,"$46,394,100"
Jamal Murray,"$46,394,100"
Lauri Markkanen,"$46,394,100"
Donovan Mitchell,"$46,394,100"
Trae Young,"$46,394,100"
Luka Dončić,"$45,999,660"
Anthony Edwards,"$45,550,512"
Tyrese Haliburton,"$45,550,512"
Pascal Siakam,"$45,550,512"
Domantas Sabonis,"$42,336,000"
OG Anunoby,"$39,568,966"
Zion Williamson,"$39,446,090"
Ja Morant,"$39,446,090"
Darius Garland,"$39,446,090"
James Harden,"$39,182,693"
Scottie Barnes,"$38,661,750"
Franz Wagner,"$38,661,750"
Shai Gilgeous-Alexander,"$38,333,050"
Michael Porter Jr.,"$38,333,050"
Brandon Ingram,"$38,095,238"
Tyrese Maxey,"$37,958,760"
LaMelo Ball,"$37,958,760"
De'Aaron Fox,"$37,096,620"
Bam Adebayo,"$37,096,620"
Desmond Bane,"$36,725,670"
Kyrie Irving,"$36,566,002"
Jaren Jackson Jr.,"$35,000,000"
Jalen Suggs,"$35,000,000"
Rudy Gobert,"$35,000,000"
Jalen Brunson,"$34,944,001"
Alperen Şengün,"$33,944,954"
Jalen Green,"$33,584,499"
Khris Middleton,"$33,296,296"
Immanuel Quickley,"$32,500,000"
Jrue Holiday,"$32,400,000"
Jerami Grant,"$32,000,001"
Jordan Poole,"$31,848,215"
Tyler Herro,"$31,000,000"
Julius Randle,"$30,864,198"
Dejounte Murray,"$30,801,103"
Kristaps Porziņģis,"$30,731,707"
CJ McCollum,"$30,666,666"
Jalen Johnson,"$30,000,000"
Isaiah Hartenstein,"$28,500,000"
Andrew Wiggins,"$28,223,215"
Derrick White,"$28,100,000"
RJ Barrett,"$27,705,357"
Anfernee Simons,"$27,678,571"
Devin Vassell,"$27,000,000"
Terry Rozier,"$26,643,031"
Tobias Harris,"$26,634,146"
