Player,ewins,team_alias,pos_text,age,mpg,2025-26,production_value,diff
Victor Wembanyama,13.4505,SAS,C,22,29.2203,13376880,51111900.0,37735020.0
Jalen Duren,9.60324,DET,C,22,28.2031,6483144,36492312.0,30009168.0
Amen Thompson,9.88842,HOU,SG,22,37.2778,9690600,37575996.0,27885396.0
Shai Gilgeous-Alexander,17.1528,OKC,PG,27,33.4286,38333050,65180640.0,26847590.0
Chet Holmgren,10.6652,OKC,C,23,29.2812,13731368,40527760.0,26796392.0
Collin Gillespie,7.64644,PHX,PG,26,28.863,2296274,29056472.0,26760198.0
Kon Knueppel,9.61673,CHA,SF,20,31.5676,10015680,36543574.0,26527894.0
Neemias Queta,7.18971,BOS,C,26,25.2571,2349578,27320898.0,24971320.0
Dyson Daniels,8.44467,ATL,SG,22,33.1571,7707709,32089746.0,24382037.0
Donovan Clingan,7.89379,POR,C,21,27.2113,7178400,29996402.0,22818002.0
Julian Champagnie,6.65157,SAS,SF,24,27.6486,3000000,25275966.0,22275966.0
Payton Pritchard,7.40487,BOS,PG,27,32.5972,7232143,28138506.0,20906363.0
Toumani Camara,5.92411,POR,SG,25,33.1316,2221677,22511618.0,20289941.0
Stephon Castle,7.50386,SAS,SG,21,29.629,9560520,28514668.0,18954148.0
Moussa Diabate,5.58446,CHA,C,23,25.9552,2270735,21220948.0,18950213.0
Ryan Rollins,5.79395,MIL,PG,23,32.0423,4000000,22017010.0,18017010.0
Derrick White,12.0466,BOS,SG,31,34.2571,28100000,45777080.0,17677080.0
Cason Wallace,6.10116,OKC,SG,22,26.8472,5820240,23184408.0,17364168.0
Ausar Thompson,6.79636,DET,SG,22,25.9077,8775000,25826168.0,17051168.0
Donte DiVincenzo,7.63241,MIN,PG,28,30.9459,11990000,29003158.0,17013158.0
Sandro Mamukelashvili,4.98326,TOR,C,26,21.7639,2461463,18936388.0,16474925.0
Ajay Mitchell,5.02167,OKC,SG,23,26.0577,3000000,19082346.0,16082346.0
Brandon Miller,7.31835,CHA,SG,23,30.2069,11968800,27809730.0,15840930.0
Nickeil Alexander-Walker,7.90334,ATL,PG,27,33.1944,15161800,30032692.0,14870892.0
Austin Reaves,7.2283,LAL,SG,27,34.7917,13937574,27467540.0,13529966.0
Saddiq Bey,5.12239,NOP,SF,26,31.058,6118644,19465082.0,13346438.0
Jaylon Tyson,4.34124,CLE,SF,23,26.9844,3492480,16496712.0,13004232.0
Jordan Goodwin,3.94961,PHX,SF,27,22.4844,2349578,15008518.0,12658940.0
Matas Buzelis,4.74045,CHI,PF,21,29.3288,5455560,18013710.0,12558150.0
Brandin Podziemski,4.19716,GSW,SG,22,28.4933,3687960,15949208.0,12261248.0
Oso Ighodaro,3.54764,PHX,C,23,22.027,1955377,13481032.0,11525655.0
Cam Spencer,3.67453,MEM,PG,25,23.971,2537989,13963214.0,11425225.0
Kris Dunn,4.34317,LAC,SG,31,27.4533,5426400,16504045.999999998,11077645.999999998
Pelle Larsson,3.41197,MIA,SF,24,26.0312,1955377,12965486.0,11010109.0
Wendell Carter Jr.,5.67826,ORL,C,26,29.6,10850000,21577388.0,10727388.0
Kel'el Ware,3.98822,MIA,C,21,22.3143,4443360,15155236.0,10711876.0
Jabari Smith Jr.,6.06627,HOU,SF,22,35.2143,12350392,23051826.0,10701434.0
Keyonte George,3.89377,UTA,PG,22,33.0741,4278960,14796326.0,10517366.0
Tim Hardaway Jr.,3.25027,DEN,SG,33,26.9333,2296274,12351026.0,10054752.0
Javonte Green,3.20798,DET,SG,32,17.6622,2296274,12190324.0,9894050.0
Kevin Porter Jr.,3.79648,MIL,SG,25,33.1842,5134000,14426624.0,9292624.0
VJ Edgecombe,5.36612,PHI,SG,20,34.8657,11108880,20391256.0,9282376.0
Jaylen Wells,2.93347,MEM,SF,22,26.3913,1955377,11147186.0,9191809.0
Luka Doncic,14.4983,LAL,PG,26,35.9516,45999660,55093540.0,9093880.0
Deni Avdija,6.16185,POR,SF,25,32.5246,14375000,23415030.0,9040030.0
Moses Moody,5.42383,GSW,SF,23,25.6667,11574075,20610554.0,9036479.0
Russell Westbrook,2.98011,SAC,SG,37,28.9375,2296274,11324418.0,9028144.0
Miles McBride,3.38631,NYK,SG,25,27.5278,4333333,12867978.0,8534645.0
Peyton Watson,3.25486,DEN,PF,23,29.9623,4356476,12368468.0,8011992.0
Jamal Shead,2.61298,TOR,PG,23,22.2162,1955377,9929324.0,7973947.0
Precious Achiuwa,2.54459,SAC,PF,26,23.403,2111516,9669442.0,7557926.0
Mikal Bridges,8.51577,NYK,SF,29,33.3733,24900000,32359926.0,7459926.0
Cedric Coward,3.43435,MEM,SF,22,25.9298,5715120,13050530.0,7335410.0
Gary Payton II,2.48343,GSW,SF,33,15.2687,2296274,9437034.0,7140760.0
Luka Garza,2.49233,BOS,C,27,15.75,2461463,9470854.0,7009391.0
Sam Merrill,4.07481,CLE,SF,29,26.3542,8482144,15484278.000000002,7002134.000000002
Jordan Walsh,2.42275,BOS,PF,21,17.65,2221677,9206450.0,6984773.0
Quinten Post,2.3454,GSW,C,25,17.2985,1955377,8912520.0,6957143.0
Jock Landale,2.4205,ATL,C,30,22.2537,2296274,9197900.0,6901626.0
