team_alias,total_salary,total_production_value,total_surplus,num_players
OKC,179773002,235583959.06,55810957.06,14
SAS,184204928,210570750.9,26365822.900000002,17
DET,169872812,192894791.36,23021979.36,14
BOS,189348982,197002309.78,7653327.779999999,13
HOU,171960146,175286970.0,3326824.000000002,14
MIA,159804115,162444539.4,2640424.399999998,14
CHA,179622853,173248878.0,-6373975.000000002,17
POR,154036459,134878807.4,-19157651.6,15
DEN,195921026,171832767.34,-24088258.66,16
TOR,186565404,159334587.1,-27230816.9,15
ATL,183728678,155771710.9,-27956967.099999998,18
CLE,221716257,192372521.374,-29343735.626,16
PHX,186900627,151373001.9,-35527625.1,18
NYK,246024744,202788431.08,-43236312.92,17
MIN,224968594,179904098.82,-45064495.18,16
GSW,204744987,150277711.56,-54467275.44,14
DAL,136074436,73655894.0,-62418542.0,17
UTA,149362865,86588874.8,-62773990.2,14
ORL,201832280,138879789.4,-62952490.599999994,15
MEM,124908458,61487598.6,-63420859.4,15
BKN,119790878,55297616.036,-64493261.964,16
PHI,202855617,131635506.64,-71220110.36,18
IND,150450789,68737540.3276,-81713248.6724,22
MIL,164697533,79212377.5,-85485155.5,16
NOP,182146711,94980019.60000001,-87166691.39999999,15
CHI,170594587,73573445.4,-97021141.6,14
LAC,233972994,133261778.2,-100711215.8,16
WAS,159074645,34443895.742,-124630749.258,15
LAL,314821388,174612713.2,-140208674.79999998,22
SAC,187011751,46163264.12,-140848486.88,17
