Player,team_alias,pos_text,ewins,2025-26,production_value,diff
Jayson Tatum,BOS,PF,1.08924,54126450,4139112.0,-49987338.0
Anthony Davis,WAS,C,2.07137,54126450,7871206.0,-46255244.0
Trae Young,WAS,PG,1.355,46394100,5149000.0,-41245100.0
Zach LaVine,SAC,SG,1.7219,47499660,6543220.0,-40956440.0
Domantas Sabonis,SAC,C,0.738557,42336000,2806516.6,-39529483.4
Paul George,PHI,SF,3.3811,51666090,12848180.0,-38817910.0
Ja Morant,MEM,PG,1.12413,39446090,4271694.0,-35174396.0
Joel Embiid,PHI,C,5.34467,55224526,20309746.0,-34914780.0
Stephen Curry,GSW,PG,6.76963,59606817,25724594.0,-33882223.0
LeBron James,LAL,SF,5.01866,52627153,19070908.0,-33556245.0
